.wk3			Lotus 1-2-3 spreadsheet
.wks			Microsoft Works spreadsheet (legacy)
.wma			Windows Media audio file
.wmf			Windows Metafile
.wmv			Windows Media video file
.wpd			WordPerfect document
.wps			Microsoft Works document
.wsdl			Web Services Description Language file
.wsf			Windows Script File
.xcodeproj		Xcode project
.xhtml			Extensible Hypertext Markup Language file
.xlm			Microsoft Excel macro (legacy)
.xlr			Microsoft Works spreadsheet
.xls			Microsoft Excel spreadsheet (legacy)
.xlsm			Microsoft Excel spreadsheet (macro-enabled)
.xlsx			Microsoft Excel spreadsheet
.xlt			Microsoft Excel spreadsheet template (legacy)
.xltm			Microsoft Excel spreadsheet template (macro-enabled)
.xltx			Microsoft Excel spreadsheet template
.xlw			Microsoft Excel workspace
.xml			Extensible Markup Language file
.xsd			XML Schema Definition file
.xsl			Extensible Stylesheet Language file
.xslt			Extensible Stylesheet Language Transformations file
.xsn			Microsoft InfoPath form template file
.xtm			CmapTools Exported Topic Map
.yaml			YAML Ain't Markup Language file
.yml			YAML Ain't Markup Language file
.yuv			YUV-encoded image file
.zip			Zip compressed archive
.zipx			ZipX compressed archive
